run,layer,ratio,ar,lr,steps,mean_discr,target_discr,rppl,fppl,rcos,fcos,cos_gap,mse_ratio
rmu_l6_ratio075_ar1_lr5e6_s200,6,0.75,1.0,5e-06,200,0.25661421795280615,0.7037627551020408,4.442100075990236,4.834293222958697,0.8942566514015198,0.5407617688179016,0.35349488258361816,6.561651875890721
rmu_l6_ratio100_ar2_lr2e6_s200,6,1.0,2.0,2e-06,200,0.2666109046157526,0.5658482142857144,4.35702090321378,4.485405933506883,0.9114265441894532,0.7210016250610352,0.19042491912841808,3.6850251949397927
rmu_full_l6_base,6,1.0,1.0,5e-06,200,0.2779055225605868,0.6571269132653061,4.3980751441441255,4.652330329055623,0.908111572265625,0.5501396059989929,0.3579719662666321,8.018338433189587
rmu_l6_ratio100_ar2_lr1e5_s200,6,1.0,2.0,1e-05,200,0.293026048309949,0.5037468112244898,4.352679773771714,4.528357676027464,0.9189026951789856,0.4034217298030853,0.5154809653759003,15.61154055352271
rmu_l6_ratio100_ar3_lr5e6_s200,6,1.0,3.0,5e-06,200,0.3214385363520408,0.36284279336734704,4.338387985985589,4.565855879112005,0.9131556749343872,0.6968460083007812,0.21630966663360596,4.047126140457633
rmu_l6_ratio100_ar5_lr5e6_s200,6,1.0,5.0,5e-06,200,0.3343101034359056,0.7315051020408163,4.296412315659948,4.413997641538303,0.9497167468070984,0.791335940361023,0.15838080644607544,4.971703381433716
rmu_l6_ratio100_ar2_lr5e6_s200,6,1.0,2.0,5e-06,200,0.3939109335140306,0.14365433673469363,4.3458910179861805,4.377933304165031,0.9403971433639526,0.757081925868988,0.1833152174949646,5.221274642346149
rmu_l8_ratio050_ar1_lr5e6_s200,8,0.5,1.0,5e-06,200,0.1904757752710459,0.3804209183673468,4.299258017872289,4.473732458346037,0.9283000826835632,0.8460772633552551,0.0822228193283081,2.4406085206687598
rmu_l8_ratio150_ar1_lr5e6_s200,8,1.5,1.0,5e-06,200,0.22524837571747452,0.07840401785714302,4.180930736377487,4.339299928017393,0.914434850215912,0.7854498624801636,0.1289849877357484,3.1094065182208652
rmu_l8_ratio100_ar2_lr5e6_s200,8,1.0,2.0,5e-06,200,0.2429236587213011,0.6173070790816326,4.192586829811263,4.521287663235304,0.9630196690559388,0.8952786326408386,0.06774103641510021,3.1660435804538305
rmu_l8_ratio125_ar1_lr5e6_s200,8,1.25,1.0,5e-06,200,0.285453952088648,0.05572385204081631,4.189845965131903,4.265755168789445,0.9267095923423768,0.8204349875450134,0.10627460479736339,3.1263482519236323
rmu_full_l8_base,8,1.0,1.0,5e-06,200,0.3372254663584184,0.32330197704081653,4.205423638429482,4.256645127811178,0.941458225250244,0.8382295966148376,0.10322862863540638,3.1004346478462352
rmu_l8_ratio075_ar1_lr5e6_s200,8,0.75,1.0,5e-06,200,0.34091996173469385,0.5004783163265307,4.227264562505876,4.333513561352697,0.9394931793212892,0.8235732913017273,0.11591988801956188,3.144573371627117
rmu_l8_ratio100_ar3_lr5e6_s200,8,1.0,3.0,5e-06,200,0.44440693757971944,0.8679846938775513,4.199568967410722,4.245132692705347,0.9740700721740724,0.9365542531013488,0.03751581907272361,2.823430960987775
rmu_l8_ratio100_ar2_lr1e5_s200,8,1.0,2.0,1e-05,200,0.4835030691964286,0.08326690051020424,4.154697919372938,4.397696509694979,0.92788165807724,0.8059621453285217,0.12191951274871826,4.058567553132496
rmu_l8_ratio100_ar2_lr5e6_s300,8,1.0,2.0,5e-06,300,0.49769747987085466,0.32649075255102034,4.225366345554439,4.647399213770491,0.9464855194091796,0.8173984885215759,0.12908703088760365,3.3329396874010766
rmu_l8_ratio100_ar2_lr5e6_s100,8,1.0,2.0,5e-06,100,0.634147799744898,0.9631297831632653,4.174294475763511,4.184030161897452,0.9745791554450988,0.9524039030075072,0.022175252437591553,2.33133937687821
rmu_l8_ratio100_ar2_lr2e6_s200,8,1.0,2.0,2e-06,200,0.6542981206154337,0.9491390306122447,4.210973990809111,4.220414333003795,0.9766074419021606,0.953791320323944,0.022816121578216664,2.247915248253705
rmu_l8_ratio100_ar5_lr5e6_s200,8,1.0,5.0,5e-06,200,0.8179694973692603,0.9843351403061225,4.199758459244793,4.137899724051612,0.986843466758728,0.9823371171951294,0.004506349563598633,1.6404514941575572
