split,query_id,true_host,predicted_host,top_hit_id,top_hit_host,top_hit_phage_id,top_hit_sequence_cluster_40,query_phage_id,query_sequence_cluster_40,pident,alignment_length,query_coverage,subject_coverage,evalue,bitscore,correct,audit_note
validation,ACF15774.1,escherichia,klebsiella,UVX31345.1,klebsiella,ON602754,official_cdhit_seq_cluster_40_00598,EU734171,official_cdhit_seq_cluster_40_03675,40.541,,19,,2.6,27.3,False,
validation,AKQ06854.1,acinetobacter,acinetobacter,WCF71633.1,acinetobacter,OQ101251,official_cdhit_seq_cluster_40_00649,KR149290,official_cdhit_seq_cluster_40_01116,66.667,,36,,2.84e-101,327.0,True,
validation,AND75207.1,acinetobacter,acinetobacter,QIW91555.1,acinetobacter,MT188223,official_cdhit_seq_cluster_40_03211,KU935715,official_cdhit_seq_cluster_40_00292,37.719,,19,,1.01e-27,114.0,True,
validation,AND75209.1,acinetobacter,klebsiella,UZT48345.1,klebsiella,OP620756,official_cdhit_seq_cluster_40_00477,KU935715,official_cdhit_seq_cluster_40_02926,36.170,,12,,2.4,28.5,False,
validation,AND75211.1,acinetobacter,pseudomonas,QXV71716.1,pseudomonas,MZ348426,official_cdhit_seq_cluster_40_01994,KU935715,official_cdhit_seq_cluster_40_04128,32.468,,31,,1.8,28.1,False,
validation,AND75212.1,acinetobacter,enterobacter,BBK03769.2,enterobacter,LC373201,official_cdhit_seq_cluster_40_00372,KU935715,official_cdhit_seq_cluster_40_02287,34.483,,20,,0.030,35.8,False,
validation,AND75261.1,acinetobacter,pseudomonas,BEG72414.1,pseudomonas,LC765218,official_cdhit_seq_cluster_40_03375,KU935715,official_cdhit_seq_cluster_40_04942,37.705,,50,,1.25e-04,38.1,False,
validation,AND75267.1,acinetobacter,pseudomonas,QMP19179.1,pseudomonas,MT613935,official_cdhit_seq_cluster_40_02373,KU935715,official_cdhit_seq_cluster_40_02144,38.217,,26,,3.58e-23,101.0,False,
validation,AQN32219.1,staphylococcus,staphylococcus,AZB66739.1,staphylococcus,MK075004,official_cdhit_seq_cluster_40_00158,KY389063,official_cdhit_seq_cluster_40_00205,42.015,,76,,0.0,701.0,True,
validation,AQN32273.1,staphylococcus,staphylococcus,AZB66739.1,staphylococcus,MK075004,official_cdhit_seq_cluster_40_00158,KY389064,official_cdhit_seq_cluster_40_00205,42.888,,75,,0.0,708.0,True,
validation,AQN32697.1,acinetobacter,acinetobacter,WCF71633.1,acinetobacter,OQ101251,official_cdhit_seq_cluster_40_00649,KY268296,official_cdhit_seq_cluster_40_01116,67.021,,36,,4.64e-101,327.0,True,
validation,ARV77118.1,pseudomonas,pseudomonas,BAO53066.1,pseudomonas,AB910392,official_cdhit_seq_cluster_40_02921,MF042361,official_cdhit_seq_cluster_40_02086,53.333,,5,,0.015,36.6,True,
validation,ARV77122.1,pseudomonas,pseudomonas,OK638201_00052,pseudomonas,OK638201,official_cdhit_seq_cluster_40_02129,MF042361,official_cdhit_seq_cluster_40_03650,44.000,,17,,4.18e-04,40.0,True,
validation,ASN73353.1,acinetobacter,acinetobacter,QQM15083.1,acinetobacter,MW366784,official_cdhit_seq_cluster_40_01639,MF033347,official_cdhit_seq_cluster_40_01222,96.154,,21,,1.42e-95,310.0,True,
validation,ATN92736.1,escherichia,escherichia,URC09763.1,escherichia,ON470605,official_cdhit_seq_cluster_40_00422,MG197996,official_cdhit_seq_cluster_40_01845,71.186,,28,,2.57e-69,241.0,True,
validation,AUM59621.1,pseudomonas,enterobacter,AFH20262.1,enterobacter,JQ086370,official_cdhit_seq_cluster_40_00179,MG596799,official_cdhit_seq_cluster_40_00255,31.029,,97,,4.59e-166,523.0,False,
validation,AUM59634.1,pseudomonas,pseudomonas,UVN14110.1,pseudomonas,ON857939,official_cdhit_seq_cluster_40_02129,MG596799,official_cdhit_seq_cluster_40_02530,32.343,,60,,3.73e-38,145.0,True,
validation,AUV59069.1,escherichia,escherichia,QXV81381.1,escherichia,MZ501084,official_cdhit_seq_cluster_40_00605,MG770228,official_cdhit_seq_cluster_40_00112,30.108,,47,,7.54e-09,58.9,True,
validation,AUV59070.1,escherichia,pseudomonas,ATW58130.1,pseudomonas,MG018928,official_cdhit_seq_cluster_40_00683,MG770228,official_cdhit_seq_cluster_40_02227,37.410,,49,,2.14e-46,166.0,False,
validation,AUV59081.1,escherichia,escherichia,QBP35555.1,escherichia,MK310184,official_cdhit_seq_cluster_40_05028,MG770228,official_cdhit_seq_cluster_40_05060,33.333,,42,,1.9,23.9,True,
validation,AUX83623.1,escherichia,escherichia,QNH91754.1,escherichia,MT808983,official_cdhit_seq_cluster_40_01133,MG845865,official_cdhit_seq_cluster_40_00550,59.783,,28,,2.22e-95,317.0,True,
validation,AWD93137.1,acinetobacter,klebsiella,QIN94997.1,klebsiella,MT075871,official_cdhit_seq_cluster_40_00060,MH115576,official_cdhit_seq_cluster_40_05033,49.123,,89,,1.12e-09,51.2,False,
validation,AWD93171.1,acinetobacter,acinetobacter,UJE34831.1,acinetobacter,OL960030,official_cdhit_seq_cluster_40_04200,MH115576,official_cdhit_seq_cluster_40_04100,29.078,,58,,1.07e-04,40.8,True,
