replicate,saprot_macro_f1,blast_macro_f1,delta_saprot_minus_blast,sampled_groups,sampled_rows
1,0.48036269972708395,0.5060260926477672,-0.02566339292068326,181,317
2,0.48389024670858277,0.466491653991654,0.017398592716928785,181,309
3,0.46957189188873166,0.46097661396574446,0.008595277922987199,181,334
4,0.5060266337219648,0.5136429923316471,-0.00761635860968235,181,298
5,0.42193294485633237,0.411603068683413,0.010329876172919361,181,315
6,0.3672870739161826,0.4879791000989946,-0.120692026182812,181,324
7,0.46112566931218124,0.49813864939915364,-0.0370129800869724,181,322
8,0.40986348162825453,0.5080508558654983,-0.09818737423724372,181,307
9,0.47061270759123647,0.4699887825938552,0.0006239249973812866,181,310
10,0.4709548701802807,0.5262781861122093,-0.05532331593192863,181,304
11,0.4932443379955025,0.4995783422944308,-0.006334004298928331,181,303
12,0.44758828511992066,0.45779946533293864,-0.010211180213017979,181,364
13,0.4164413871337348,0.4549645475638351,-0.03852316043010029,181,326
14,0.4760377672262891,0.5244454657941028,-0.048407698567813684,181,310
15,0.48463662285414577,0.4880658792560535,-0.003429256401907721,181,308
16,0.5086232755555908,0.4166464825041255,0.09197679305146533,181,305
17,0.4574556444030492,0.5134500739180795,-0.05599442951503031,181,291
18,0.432463032442875,0.46742625896744167,-0.03496322652456668,181,310
19,0.44190438614510047,0.492069970478224,-0.050165584333123514,181,327
20,0.4478032138750687,0.4495056114946832,-0.001702397619614493,181,323
21,0.5078984507555937,0.5002803356064226,0.007618115149171101,181,306
22,0.5170368008314437,0.4748749610524277,0.04216183977901594,181,309
23,0.5140353765959472,0.5324827002112766,-0.018447323615329414,181,259
24,0.4772227362225089,0.42370664098471494,0.05351609523779394,181,350
25,0.4896799687385398,0.449587470635825,0.04009249810271481,181,304
26,0.47570368359887316,0.4720929141981774,0.003610769400695768,181,326
27,0.523381237130576,0.5007235764165153,0.022657660714060723,181,276
28,0.4270358506001359,0.48048652321408,-0.053450672613944095,181,322
29,0.4788447670943725,0.4918196042216745,-0.012974837127301964,181,300
30,0.4140325212090503,0.5280674485998265,-0.11403492739077614,181,290
31,0.44143474258824744,0.4781540066780652,-0.03671926408981774,181,294
32,0.4936463114646834,0.45323189984122964,0.04041441162345377,181,334
33,0.456779663877845,0.42593363126516276,0.03084603261268226,181,351
34,0.4328168040556609,0.5299880313126739,-0.097171227257013,181,302
35,0.4402390025303199,0.4439624327181931,-0.003723430187873189,181,334
36,0.44831324680959345,0.42981880857383564,0.018494438235757804,181,315
37,0.4793977707198648,0.4776393185997633,0.0017584521201015058,181,315
38,0.4685685922771934,0.48631742144709544,-0.01774882916990206,181,311
39,0.4614161287960328,0.424697884739306,0.0367182440567268,181,340
40,0.43114461565158185,0.49710961557296224,-0.06596499992138039,181,291
41,0.4857867727222815,0.49159846744234237,-0.005811694720060878,181,299
42,0.5047933673775188,0.4891599184981154,0.015633448879403378,181,325
43,0.4464298018090277,0.4169971321580329,0.02943266965099478,181,343
44,0.4395655272615713,0.4581742346061231,-0.018608707344551834,181,324
45,0.49774748395529655,0.49330323691184563,0.004444247043450922,181,290
46,0.42729332677461895,0.43418546664466345,-0.0068921398700445,181,340
47,0.4138303459732032,0.438658127383145,-0.02482778140994185,181,345
48,0.36359488774562865,0.4396355554411104,-0.07604066769548173,181,309
49,0.5005759640148477,0.4316813589427371,0.06889460507211059,181,321
50,0.4009482759001836,0.4553642426876827,-0.054415966787499104,181,345
51,0.45221298498609425,0.42150088864374574,0.030712096342348505,181,348
52,0.5030560196389359,0.48849222406805576,0.014563795570880111,181,296
53,0.38710345626938886,0.4426687748733325,-0.05556531860394365,181,344
54,0.4073445116927451,0.5116299556797786,-0.10428544398703354,181,318
55,0.5061615186615186,0.46749597221361655,0.038665546447902044,181,316
56,0.44234418540638426,0.4105512594401483,0.03179292596623595,181,355
57,0.45644873333948965,0.5560278848381458,-0.09957915149865615,181,278
58,0.4625151395419997,0.5273350848430536,-0.0648199453010539,181,295
59,0.4363281262748601,0.5604281206438774,-0.12409999436901725,181,281
60,0.4827468433815451,0.5163823289510022,-0.03363548556945711,181,307
61,0.4658573864032844,0.4589594055692842,0.0068979808340001725,181,330
62,0.47709870598950727,0.41406975085862024,0.06302895513088702,181,342
63,0.42942340375163857,0.44722733140738763,-0.017803927655749063,181,337
64,0.4223849861722401,0.46112125557727895,-0.03873626940503888,181,313
65,0.42893380892230126,0.46947008026270726,-0.040536271340405994,181,309
66,0.44163013312726235,0.46619605806208675,-0.0245659249348244,181,334
67,0.5370733897544073,0.4682356828360182,0.06883770691838914,181,290
68,0.38202775306884895,0.4996557953079693,-0.11762804223912032,181,333
69,0.4098757319960548,0.49899152282078096,-0.08911579082472615,181,330
70,0.4703049369656106,0.45112219425120015,0.01918274271441045,181,301
71,0.41139755216280127,0.476934447198405,-0.06553689503560373,181,329
72,0.4399457980938185,0.4218930961675761,0.01805270192624242,181,318
73,0.47432673585548557,0.4452468787251395,0.029079857130346054,181,312
74,0.47285046028135,0.43809259845845216,0.03475786182289786,181,347
75,0.3678357458381405,0.46771149367498255,-0.09987574783684205,181,295
76,0.42904097602796476,0.534134840201676,-0.10509386417371125,181,289
77,0.4605844483643229,0.47264599503036064,-0.012061546666037759,181,315
78,0.4795635278949481,0.46602685938806915,0.013536668506878957,181,314
79,0.415152422958209,0.5284586425776575,-0.11330621961944853,181,310
80,0.4276160806106983,0.4357789225738128,-0.008162841963114509,181,335
81,0.45680489929962137,0.44446478515523014,0.012340114144391234,181,322
82,0.43051296511190235,0.4135784568245809,0.01693450828732146,181,334
83,0.42260535735319926,0.46362914998116433,-0.04102379262796507,181,326
84,0.4344184085763653,0.4429486527260149,-0.00853024414964959,181,328
85,0.528152063119188,0.5410078192167527,-0.012855756097564619,181,284
86,0.40549655595903505,0.41910103701190116,-0.013604481052866102,181,352
87,0.4898869810096324,0.4482514780920609,0.04163550291757151,181,298
88,0.4318849049501223,0.5187978837090493,-0.08691297875892706,181,295
89,0.39433558013202746,0.39023039445919094,0.00410518567283652,181,317
90,0.4239930465325112,0.5038950507290899,-0.07990200419657872,181,294
91,0.46913805727798114,0.38977962988181714,0.079358427396164,181,329
92,0.47732045377239285,0.5091648741054547,-0.031844420333061896,181,323
93,0.4608405114028779,0.4458501811477743,0.014990330255103601,181,325
94,0.449494702337947,0.43102984901865754,0.018464853319289487,181,323
95,0.4107493318793135,0.4040754583197647,0.006673873559548793,181,334
96,0.5033761090929054,0.5317940186862584,-0.028417909593352997,181,290
97,0.48886056465809613,0.4958642435617948,-0.007003678903698685,181,304
98,0.45956313815561245,0.5116969962557852,-0.05213385810017279,181,295
99,0.43664568354799715,0.4517497743898768,-0.015104090841879636,181,313
100,0.437343655804305,0.45006326385636736,-0.012719608052062348,181,306
101,0.45673658314471155,0.5887059939183047,-0.13196941077359314,181,273
102,0.4784257520720175,0.4409610622713615,0.03746468980065598,181,318
103,0.4992270727723193,0.4964028532041308,0.002824219568188513,181,291
104,0.452087112323222,0.43633010611397294,0.01575700620924908,181,358
105,0.48277257353682373,0.4822773154720192,0.000495258064804549,181,311
106,0.4506918435484578,0.5267152885821599,-0.07602344503370206,181,312
107,0.4135767234539655,0.46848225456190384,-0.05490553110793833,181,320
108,0.45987821180261473,0.43987695759378714,0.02000125420882759,181,324
109,0.41195065734034647,0.42332606773431936,-0.011375410393972885,181,346
110,0.42415420113439917,0.47851768861999044,-0.05436348748559128,181,305
111,0.5182602503710064,0.4494211369787407,0.06883911339226573,181,319
112,0.4630915802907954,0.40719642067833517,0.05589515961246022,181,352
113,0.4156709305440698,0.45546385506261683,-0.039792924518547046,181,347
114,0.48533646681765424,0.47159293766320476,0.013743529154449485,181,326
115,0.42217729585208896,0.5135289403624432,-0.09135164451035427,181,335
116,0.4499760680028841,0.5418296727919245,-0.09185360478904042,181,309
117,0.4001211901089138,0.4099608223626309,-0.00983963225371709,181,350
118,0.49246592533583594,0.4532024863031703,0.03926343903266566,181,333
119,0.49597892282685246,0.4764528441237928,0.01952607870305967,181,325
120,0.4810099505640766,0.44868996570969166,0.03231998485438492,181,298
121,0.48618360318582615,0.4643805210034949,0.021803082182331235,181,311
122,0.5051921363277682,0.4284654612205632,0.07672667510720493,181,304
123,0.3955156471065383,0.48031783788872584,-0.08480219078218754,181,309
124,0.44115694116372783,0.48875496683334113,-0.0475980256696133,181,302
125,0.4202367023835342,0.4591534652638868,-0.03891676288035256,181,339
126,0.5255292563754228,0.4483250421939994,0.07720421418142343,181,324
127,0.44131328303990175,0.48349192954713605,-0.042178646507234296,181,315
128,0.4534081282037062,0.41972148807591847,0.033686640127787715,181,325
129,0.4027820820109687,0.5142614469800406,-0.1114793649690719,181,317
130,0.5051265568082426,0.45914473940516887,0.04598181740307372,181,341
131,0.5199920778229441,0.42204945638732944,0.09794262143561466,181,303
132,0.4559786990133243,0.48558890030976487,-0.029610201296440597,181,338
133,0.3908690864916788,0.42668791813592405,-0.035818831644245264,181,343
134,0.41090436424726245,0.46310424205161055,-0.052199877804348094,181,290
135,0.4580869339766207,0.5267648830084389,-0.06867794903181823,181,310
136,0.3986603020629536,0.47765820531777986,-0.07899790325482625,181,306
137,0.4220950575770616,0.4685893838671617,-0.046494326290100085,181,324
138,0.4347291259446763,0.46649763198119926,-0.03176850603652298,181,319
139,0.46908054872426563,0.5209499047283288,-0.05186935600406317,181,296
140,0.49379190617580715,0.4726412474482607,0.021150658727546456,181,351
141,0.48554090519482795,0.46266274163571236,0.022878163559115594,181,310
142,0.41759179958404946,0.48162418541186,-0.06403238582781051,181,324
143,0.4983791923018678,0.5132023670865014,-0.014823174784633575,181,306
144,0.5093030249783592,0.5006011402064533,0.008701884771905921,181,312
145,0.40908982250312,0.4527837863851088,-0.04369396388198882,181,319
146,0.49021507319059127,0.5061322043492414,-0.015917131158650177,181,295
147,0.46787167461474066,0.4343676967097658,0.033503977904974835,181,312
148,0.4996503686437789,0.47792048196040593,0.021729886683372945,181,305
149,0.4157168331732791,0.37072772486656586,0.044989108306713266,181,375
150,0.4513408773123631,0.4889385784637102,-0.037597701151347085,181,337
151,0.3945147218698085,0.546221966813652,-0.15170724494384347,181,280
152,0.42427025200134444,0.41674557598851925,0.007524676012825193,181,322
153,0.4898022358613492,0.5021550414862909,-0.012352805624941676,181,308
154,0.4264610658132148,0.4699547578594279,-0.04349369204621312,181,343
155,0.4384353741496599,0.4689535628136586,-0.03051818866399869,181,300
156,0.42493876075016856,0.4623306092190969,-0.037391848468928346,181,311
157,0.5091599031950323,0.5321532283923799,-0.022993325197347536,181,301
158,0.4854157562475108,0.49359655925309787,-0.008180803005587045,181,333
