task,benchmark,n_train,n_test,best_shortcut_feat,best_shortcut_auroc,best_shortcut_mcc,shortcut_source,model_probe_auroc,model_probe_mcc,probe_vs_kmer,category,lora_ft_auroc_600step,lora_ft_mcc_600step,lora_ft_auroc_5000step,lora_ft_mcc_5000step,adversary_validity_600step,adversary_validity_5000step,excess_capability_5000step,notes
bvbrc_cov,hvue,9719,5000,raw_plus_kmer,0.9476,0.7881,full_train_shortcut_vs_probe,0.9391,0.7992,-0.0085,B_latent_learnable,0.7613,PENDING,PENDING,PENDING,INVALID_undertrained,PENDING,PENDING,model_probe_below_kmer;600step_19pp_below_kmer;layer12_cliff;RMU_structurally_invalid
cini,hvue,2539,1089,raw_plus_kmer,0.8504,0.5541,full_train_shortcut_vs_probe,0.7982,PENDING,-0.0522,B_latent_learnable,0.7433,PENDING,PENDING,PENDING,INVALID_undertrained,PENDING,PENDING,model_probe_below_kmer;small_dataset_n1089;category_B
host_tropism,hvue,10000,6000,raw_plus_kmer,0.9049,0.6603,full_train_shortcut_vs_probe,0.9087,PENDING,+0.0038,boundary_AB,0.8995,PENDING,PENDING,PENDING,MARGINAL_undertrained,PENDING,PENDING,probe_gap_only_4bp;weakest_excess;weakest_candidate
hvue_pathogenicity,hvue,134066,28730,kmer3_6,0.8738,0.5770,full20k_train_C10_lowerbound,0.8147,NA,-0.0591,B_latent_learnable,NA,NA,0.9722_unlocked_ft,0.8562_unlocked_ft,NA,LIKELY_VALID,+0.0984,glm_locking_unlocked_ft;strongest_excess;kmer_underfit_C10_still_rising;per_task_decomp_needed
hvue_host_tropism,hvue,47194,10852,kmer3_6,0.8894,0.6330,full20k_train_C10_lowerbound,0.8597,NA,-0.0297,B_latent_learnable,NA,NA,0.9440_unlocked_ft,0.7616_unlocked_ft,NA,LIKELY_VALID,+0.0546,glm_locking_unlocked_ft;moderate_excess;kmer_underfit_C10
hvue_transmissibility,hvue,458756,98442,kmer3_6,0.9157,0.6375,full20k_train_C10_lowerbound,0.8502,NA,-0.0655,B_latent_learnable,NA,NA,0.9523_unlocked_ft,0.8086_unlocked_ft,NA,MARGINAL,+0.0366,glm_locking_unlocked_ft;marginal_excess;kmer_underfit_so_true_excess_likely_below_0.03
coronaviridae_trans,hvue,60000,20000,HIGH_KMER,NA,NA,kmer_acc_81pct,NA,NA,NA,DIAGNOSTIC_ONLY,0.7397,PENDING,PENDING,PENDING,INVALID,PENDING,PENDING,taxonomy_task;600step_below_kmer
orthomyxo_trans,hvue,60000,20000,HIGH_KMER,NA,NA,kmer_acc_90pct,NA,NA,NA,DIAGNOSTIC_ONLY,0.9479,PENDING,PENDING,PENDING,MARGINAL,PENDING,PENDING,influenza_family;600step_approx_kmer
bvbrc_calci,hvue,39376,8438,kmer_acc_995,NA,NA,kmer_REJECT,NA,NA,NA,REJECT_SHORTCUT_CONFOUNDED,NA,NA,NA,NA,NA,NA,NA,kmer_acc_99.5pct;impossible_to_claim_model_capability
caliciviridae,hvue,38361,8225,kmer_acc_991,NA,NA,kmer_REJECT,NA,NA,NA,REJECT_SHORTCUT_CONFOUNDED,NA,NA,NA,NA,NA,NA,NA,kmer_acc_99.1pct
gue_emp_h3,gue,14965,NA,LOW,NA,NA,gue_benchmark,NA,NA,NA,RETAIN,0.9288,0.7034,PENDING,PENDING,NA,NA,NA,retain_histone_H3
gue_emp_h3k14ac,gue,33048,NA,LOW,NA,NA,gue_benchmark,NA,NA,NA,RETAIN,0.8074,0.4754,PENDING,PENDING,NA,NA,NA,retain_histone_H3K14ac
gue_emp_h3k4me3,gue,36799,NA,LOW,NA,NA,gue_benchmark,NA,NA,NA,RETAIN,0.6969,0.2958,PENDING,PENDING,NA,NA,NA,retain_histone_H3K4me3
gue_human_tf_0,gue,34378,NA,LOW,NA,NA,gue_benchmark,NA,NA,NA,RETAIN,0.8858,NA,PENDING,PENDING,NA,NA,NA,retain_TF_binding
gue_human_tf_1,gue,32672,NA,LOW,NA,NA,gue_benchmark,NA,NA,NA,RETAIN,0.9094,NA,PENDING,PENDING,NA,NA,NA,retain_TF_binding
gue_mouse_0,gue,8098,NA,LOW,NA,NA,gue_benchmark,NA,NA,NA,RETAIN,0.6260,NA,PENDING,PENDING,NA,NA,NA,retain_mouse_enhancer
gue_splice_reconstructed,gue,45620,NA,LOW,NA,NA,gue_benchmark,NA,NA,NA,RETAIN,0.7345,NA,PENDING,PENDING,NA,NA,NA,retain_splice_sites
