tag,n_train,n_test,n_test_leaked,frac_leaked
gue_prom_core_all_official,40252,5920,93,0.0157
gue_prom_core_notata_official,36084,5307,74,0.0139
gue_prom_core_tata_official,4168,613,34,0.0555
gue_prom_300_all_official,40252,5920,101,0.0171
gue_prom_300_notata_official,36084,5307,80,0.0151
gue_prom_300_tata_official,4168,613,19,0.031
gue_splice_reconstructed_official,31021,4562,979,0.2146
gue_tf_0_official,27521,1000,27,0.027
gue_tf_1_official,26071,1000,31,0.031
gue_tf_2_official,16150,1000,21,0.021
gue_tf_3_official,23199,1000,30,0.03
gue_tf_4_official,16150,1000,34,0.034
epi_gm12878_enhancer,8500,2000,781,0.3905
epi_gm12878_promoter,8500,2000,1344,0.672
epi_helas3_enhancer,8500,2000,862,0.431
epi_helas3_promoter,8500,2000,1453,0.7265
epi_huvec_enhancer,8500,2000,893,0.4465
epi_huvec_promoter,8500,2000,1393,0.6965
epi_imr90_enhancer,8500,2000,908,0.454
epi_imr90_promoter,8500,2000,1603,0.8015
epi_k562_enhancer,8500,2000,865,0.4325
epi_k562_promoter,8500,2000,1427,0.7135
epi_nhek_enhancer,8500,2000,920,0.46
epi_nhek_promoter,8500,2000,1580,0.79
