task,split_strategy,model,n_eval,model_auroc,kmer_auroc,residual,ci_lo,ci_hi,beats_kmer,kmer_k,source,notes
ViroBench_host,random_cv,pretrained,6999,0.9270,0.9490,-0.0221,-0.0264,-0.0177,neg,4,glm_locking_exp3,model_loses_to_kmer_even_on_random_split
ViroBench_host,random_cv,unlocked_ft,6999,0.8263,0.9490,-0.1227,-0.1289,-0.1166,neg,4,glm_locking_exp3,full_FT_worse_than_frozen
ViroBench_host,LOFO_family_disjoint,pretrained,3886,0.5934,0.6910,-0.0973,-0.1178,-0.0775,neg,4,glm_locking_exp3,family_disjoint_model_far_below_kmer
ViroBench_host,LOFO_family_disjoint,locked_no_ft,3886,0.5991,0.6910,-0.0916,-0.1119,-0.0714,neg,4,glm_locking_exp3,family_disjoint
ViroBench_host,LOFO_family_disjoint,unlocked_ft,3886,0.5844,0.6910,-0.1064,-0.1271,-0.0855,neg,4,glm_locking_exp3,full_FT_overfits_train_families
ViroBench_host,LOFO_family_disjoint,M_a300k,3886,0.5213,0.6910,-0.1698,-0.1907,-0.1481,neg,4,glm_locking_exp3,near_random_on_held_out_families
ViroBench_host,temporal,pretrained,3000,0.7748,0.7899,-0.0150,-0.0672,0.0409,ns,4,glm_locking_exp3,temporal_split_not_significant_vs_kmer
ViroBench_host,temporal,locked_no_ft,3000,0.7815,0.7899,-0.0082,-0.0648,0.0529,ns,4,glm_locking_exp3,temporal_split
ViroBench_host,temporal,unlocked_ft,3000,0.5456,0.7899,-0.2436,-0.3246,-0.1649,neg,4,glm_locking_exp3,full_FT_collapses_on_future_time_split
ViroBench_host,temporal,M_a300k,3000,0.5608,0.7899,-0.2294,-0.2845,-0.1771,neg,4,glm_locking_exp3,temporal_split
hvue_pathogenicity,random_split,unlocked_ft,28730,0.9722,0.8738,0.0984,NA,NA,PENDING_kmer_underfit,3-6,glm_locking+this_project,random_split_shows_excess;disjoint_split_NOT_yet_constructed
hvue_host_tropism,random_split,unlocked_ft,10852,0.9440,0.8894,0.0546,NA,NA,PENDING_kmer_underfit,3-6,glm_locking+this_project,random_split_shows_excess;disjoint_split_NOT_yet_constructed
hvue_transmissibility,random_split,unlocked_ft,98442,0.9523,0.9157,0.0366,NA,NA,PENDING_kmer_underfit,3-6,glm_locking+this_project,random_split_marginal;disjoint_split_NOT_yet_constructed
bvbrc_cov,composition_cluster_random,kmer3_6,2640,0.7776,NA,NA,NA,NA,NA,3-6,this_project_5632seq,composition_cluster_holdout_baseline;NN_0.960
bvbrc_cov,composition_cluster_disjoint,kmer3_6,2748,0.6544,NA,-0.1232,NA,NA,neg,3-6,this_project_5632seq,kmer_drops_0.123_when_clusters_heldout;NN_drops_0.212
bvbrc_cov,composition_cluster_random,model_probe_L0,1858,0.9061,0.7511,0.1549,NA,NA,pos,3-6,this_project_cached_feats,model_excess_+0.155_on_random_split
bvbrc_cov,composition_cluster_disjoint,model_probe_L0,1910,0.7005,0.7166,-0.0161,NA,NA,neg,3-6,this_project_cached_feats,DECISIVE_model_excess_collapses_to_-0.016;model_drops_0.206_vs_kmer_0.035
cini,composition_cluster_random,kmer3_6,1197,0.7757,NA,NA,NA,NA,NA,3-6,this_project_3628seq,NN_0.904
cini,composition_cluster_disjoint,kmer3_6,1305,0.7119,NA,-0.0639,NA,NA,neg,3-6,this_project_3628seq,kmer_drops_0.064;NN_drops_0.066
host_tropism,composition_cluster_random,kmer3_6,2640,0.8753,NA,NA,NA,NA,NA,3-6,this_project_8000seq,NN_0.929
host_tropism,composition_cluster_disjoint,kmer3_6,2871,0.7954,NA,-0.0798,NA,NA,neg,3-6,this_project_8000seq,kmer_drops_0.080;NN_drops_0.056
